"English STEM Instructional Sentence (Input X)", "Expert Tonal Translation & Morphology (Ground Truth Y)"
"A chemical reaction involves breaking and forming bonds.", "Ìṣiṣẹ́ kẹ́míkà ní í ṣe pẹ̀lú fífọ́ àti mímú àwọn ìdè pọ̀.",
"The sum of angles in a triangle is one hundred and eighty degrees.", "Ìdapọ̀ igun nínú tíríàngùlù jẹ́ ọgọ́rùn-ún àti ọgọ́rin díírì.",
"Mass is the amount of matter in an object.", "Ìwọ̀n ara ni iye ọ̀rọ̀ tí ó wà nínú nǹkan.",
"Electric current is the flow of electrons.", "Kọ́ọ̀ǹtì ẹ̀lékítíríkì ni ṣíṣàn àwọn ẹ̀lékítírónì.",
"The ecosystem consists of living and non-living components.", "Ètò ìgbé-ayé ní àwọn ohun alààyè àti àwọn ohun tí kì í ṣe alààyè nínú.",
"A solution is a mixture of a solute and a solvent.", "Sọ́lúṣọ̀nù ni ìdàpọ̀ nǹkan tí a yọ́ àti omi-àyọ́.",
"DNA replication occurs before cell division.", "Ìṣẹ́po DNA ń ṣẹlẹ̀ kí sẹ́ẹ̀lì tó pín.",
"Voltage is measured in volts.", "Wọ́ọ̀tájì ni a ń wọ̀n ní wọ́ọ̀tù.",
"An equilateral triangle has three equal sides.", "Tíríàngùlù tí ó dọ́gba ní àwọn ẹ̀gbẹ́ mẹ́tẹ̀ẹ̀ta tí ó dọ́gba.",
"Photosynthesis occurs in the chloroplasts of leaves.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń ṣẹlẹ̀ nínú kílórópíláàsì àwọn ewé.",
"Density is defined as mass per unit volume.", "Ìwọ̀n-pípọ́n ni a túmọ̀ sí ìwọ̀n ara fún ìkọ̀ọ̀kan ààyè.",
"Metals are good conductors of heat.", "Àwọn irin jẹ́ onídìí-ṣíṣàn ooru tó dára.",
"A light year is the distance light travels in one year.", "Ọdún ìmọ́lẹ̀ ni ìjìnnà tí ìmọ́lẹ̀ ń rìn ní ọdún kan.",
"Mitosis results in two identical daughter cells.", "Mítósì ń yọrí sí àwọn sẹ́ẹ̀lì ọmọ méjì tí ó jọra.",
"The pH scale measures acidity or alkalinity.", "Sikéèli pH ń wọ̀n bí nǹkan bá jẹ́ ásìdì tàbí álákálì.",
"Friction opposes the motion of an object.", "Ìforí-gbárí ń ta kò ìrìn nǹkan.",
"The nucleus is the control center of the cell.", "Niúkíléọ̀sì ni ibùdó ìṣàkóso sẹ́ẹ̀lì.",
"A variable is a value that can change.", "Fẹ́ríábùlù ni iye tí ó lè yípadà."
"The sun is the center of the solar system.", "Oòrùn ni ibùdó ètò ìran-ayé.",
"Water freezes at zero degrees Celsius.", "Omi ń di yìnyín ní ìwọ̀n odo díírì sẹ́lísíì.",
"A balanced chemical equation has equal numbers of atoms.", "Ìdọ́gba ìṣirò kẹ́míkà ní iye átọ́mù tí ó dọ́gba nínú.",
"Refraction is the bending of light.", "Ìyípadà-ọ̀nà ìmọ́lẹ̀ ni títẹ̀ ìmọ́lẹ̀.",
"The cell membrane controls what enters the cell.", "Mẹ́mírẹ̀nì sẹ́ẹ̀lì ń ṣàkóso ohun tí ó wọ inú sẹ́ẹ̀lì.",
"Gravity pulls objects towards the earth's center.", "Òòfà ilẹ̀ ń fa àwọn nǹkan sí ibùdó ilẹ̀ ayé.",
"A mixture can be separated by filtration.", "Ìdàpọ̀ kan leè jẹ́ fífíyà sọ́tọ̀ nípasẹ̀ ìyọ̀rò.",
"Sound is a form of energy.", "Ìró jẹ́ ọ̀nà agbára kan.",
"The heart is part of the circulatory system.", "Ọkàn jẹ́ apá kan ètò ìṣàn ẹ̀jẹ̀.",
"A circle has three hundred and sixty degrees.", "Síríkì ní ọgọ́rùn-ún mẹ́ta àti ọgọ́ta díírì.",
"Oxygen is essential for respiration.", "Ọ̀sìgíìì nílò fún ìmí-kúrò.",
"Static electricity is the buildup of electric charge.", "Ìṣẹ̀lẹ̀ ẹ̀lékítíríkì tí kò ń rìn ni ìkójọpọ̀ ẹ̀sùn ẹ̀lékítíríkì.",
"Energy cannot be created or destroyed.", "Agbára kò leè jẹ́ dídá tàbí pípa run.",
"An ecosystem includes biotic and abiotic factors.", "Ètò ìgbé-ayé ní àwọn ohun alààyè àti àwọn ohun tí kì í ṣe alààyè nínú.",
"Light travels in a straight line.", "Ìmọ́lẹ̀ ń rìn ní ìlà tààrà.",
"Photosynthesis occurs in plants.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń ṣẹlẹ̀ nínú àwọn ewéko.",
"The square of five is twenty-five.", "Ìṣẹ́po kẹrin márùn-ún jẹ́ márùndínlógún.",
"A thermometer measures temperature.", "Tẹ́ámómítà ń wọ̀n ìwọ̀n ooru.",
"Evaporation is the process of liquid turning to gas.", "Ìyípadà-oòrùn ni ìlànà tí omi ń di gáàsì.",
"Carbon is the basis of organic chemistry.", "Kábọ̀nì ni ìpìlẹ̀ kẹ́míkà àwọn ohun alààyè."
"The speed of light is constant in a vacuum.", "Ìyára ìmọ́lẹ̀ jẹ́ ohun tí kò yípadà nínú òfo.",
"An ecosystem maintains a balance of life.", "Ètò ìgbé-ayé ń tọ́jú ìdọ́gba nínú ìgbé-ayé.",
"A chemical bond holds atoms together.", "Ìdè kẹ́míkà ń mú àwọn átọ́mù pọ̀.",
"The hypotenuse is the longest side of a triangle.", "Ìtẹ̀wọ̀n-igun-ọ̀tún ni ẹ̀gbẹ́ tí ó gùn jù nínú tíríàngùlù.",
"Valence electrons determine chemical properties.", "Àwọn ẹ̀lékítírónì ìtẹ̀lé-ìwọ̀n ń pinnu àwọn ànímọ́ kẹ́míkà.",
"The nervous system sends electrical signals.", "Ètò ẹ̀yà-ara ń rán àwọn ìfihàn ẹ̀lékítíríkì.",
"A pendulum swings due to gravity.", "Pẹ́ńdúlùmù ń yí nítorí òòfà ilẹ̀.",
"Solubility refers to the ability to dissolve.", "Ìyọ́ni ní í ṣe pẹ̀lú agbára láti yọ́ nínú omi.",
"The stomach secretes digestive enzymes.", "Inú ń tu àwọn èńsaímù ìdóhun-ṣe.",
"A prime number is divisible only by itself and one.", "Nọ́mbà ọ̀tọ̀ ni èyí tí a lè pín pẹ̀lú ara rẹ̀ àti ọ̀kan péré.",
"Friction generates heat.", "Ìforí-gbárí ń mú ooru jáde.",
"The mass of an electron is negligible.", "Ìwọ̀n ara ẹ̀lékítírónì kò ṣe pàtàkì.",
"An isotope has the same number of protons.", "Ísótópù ní iye àwọn pùrótónì tí ó dọ́gba.",
"Plants convert carbon dioxide to oxygen.", "Àwọn ewéko ń sọ kábọ̀nì dáyọ́ọ́ìdì di ọ̀sìgíìì.",
"Velocity includes speed and direction.", "Ìyára ìtọ́sọ́nà ní nǹkan ṣe pẹ̀lú iyára àti ìtọ́sọ́nà.",
"The brain coordinates bodily functions.", "Ọpọlọ ń ṣàkóso àwọn iṣẹ́ ara.",
"A base reacts with an acid to form salt.", "Béesì ń ṣiṣẹ́ pẹ̀lú ásìdì láti mú iyọ̀ wá.",
"Angles on a straight line sum to 180 degrees.", "Àwọn igun lórí ìlà tààrà ni ọgọ́rùn-ún àti ọgọ́rin díírì.",
"DNA replication is essential for growth.", "Ìṣẹ́po DNA ṣe pàtàkì fún ìdàgbàsókè.",
"Atoms are the building blocks of matter.", "Átọ́mù ni àwọn pẹ́líkù ọ̀rọ̀."
"The law of inertia states that objects remain at rest.", "Òfin ìfọ̀rọ̀-sí-orí-dúró sọ pé àwọn nǹkan ń dúró ní ìsinmi.",
"Chemical energy is stored in the bonds of compounds.", "Agbára kẹ́míkà ń wà nínú àwọn ìdè nǹkan kẹ́míkà.",
"A molecule is the smallest unit of a substance.", "Mólíkùlù ni ẹ̀yà kékeré nínú nǹkan kan.",
"The atomic number determines the identity of an element.", "Nọ́mbà átọ́mù ń pinnu ẹ̀yà nǹkan kẹ́míkà.",
"Thermal energy flows from hot to cold objects.", "Agbára ooru ń ṣàn láti inú nǹkan gbígbóná lọ sí èyí tí ó tutù.",
"Algebra uses symbols to represent numbers.", "Àlíjíbírà ń lo àwọn àmì láti dúró fún àwọn nọ́mbà.",
"The hypotenuse is opposite the right angle.", "Ìtẹ̀wọ̀n-igun-ọ̀tún wà ní ìkọ̀rí igun ọ̀tún.",
"Mitosis is essential for cell reproduction.", "Mítósì ṣe pàtàkì fún ìbímọ sẹ́ẹ̀lì.",
"Pressure is defined as force per unit area.", "Ìfúnni ni a túmọ̀ sí agbára fún ìkọ̀ọ̀kan ààyè.",
"A prime number has only two factors.", "Nọ́mbà ọ̀tọ̀ ní àwọn onípín méjì péré.",
"The respiratory system exchanges gases in the body.", "Ètò ìmí-kúrò ń pa àwọn gáàsì mọ́ lẹ́nu nínú ara.",
"An acid has a pH value less than seven.", "Ásìdì ní ìwọ̀n pH tí ó kéré sí méje.",
"The earth revolves around the sun.", "Ilẹ̀ ayé ń yí oòrùn ká.",
"Acceleration is the change in velocity over time.", "Ìyára kánkán ni àyípadà ìyára ìtọ́sọ́nà lórí àkókò.",
"A lever is a simple machine.", "Léfà jẹ́ ẹ̀rọ kan tí ó rọrùn.",
"Photosynthesis produces glucose and oxygen.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń pèsè gúlúkóòsì àti ọ̀sìgíìì.",
"The mitochondria is the powerhouse of the cell.", "Mítókóndíríà ni ibùdó agbára sẹ́ẹ̀lì.",
"Kinetic energy depends on mass and velocity.", "Agbára ìsúnni ń bẹ lórí ìwọ̀n ara àti ìyára ìtọ́sọ́nà.",
"A reflex action is an involuntary response.", "Ìṣiṣẹ́-lẹ́sẹ̀kẹsẹ̀ ni ìdáhùn tí a kò lè ṣàkóso.",
"The boiling point is a physical property.", "Ìwọ̀n tí omi ń hó jẹ́ ànímọ́ ìwọ̀n ara."
"Newton's second law defines force as mass times acceleration.", "Òfin kejì Newton ń ṣàlàyé agbára gẹ́gẹ́ bí ìwọ̀n ara tísì ìyára kánkán.",
"Matter is anything that has mass and occupies space.", "Ọ̀rọ̀ ni ohun yòówù tí ó ní ìwọ̀n ara tí ó sì ń gba ààyè.",
"The pH scale ranges from zero to fourteen.", "Sikéèli pH ń bẹ̀rẹ̀ láti odo dé ìkẹ́rìnlá.",
"A triangle with three equal sides is an equilateral triangle.", "Tíríàngùlù tí ó ní ẹ̀gbẹ́ mẹ́tẹ̀ẹ̀ta tí ó dọ́gba ni tíríàngùlù oní-ẹ̀gbẹ́-dọ́gba.",
"Electrons orbit the nucleus of an atom.", "Ẹlékítírónì ń yí niúkíléọ̀sì átọ́mù ká.",
"A solution is homogeneous throughout.", "Sọ́lúṣọ̀nù jẹ́ ohun tí ó jọra nínú gbogbo apá rẹ̀.",
"Energy is the ability to do work.", "Agbára ni agbára láti ṣiṣẹ́.",
"The cytoplasm contains organelles of the cell.", "Sáítópíláàsì ní àwọn apá sẹ́ẹ̀lì nínú.",
"A scalar quantity has magnitude only.", "Ìwọ̀n sẹ́kálà ní ìwọ̀n nìkan.",
"Vectors have both magnitude and direction.", "Vẹ́kítọ̀ ní ìwọ̀n àti ìtọ́sọ́nà pẹ̀lú.",
"Elements are substances that cannot be broken down.", "Àwọn ẹ̀yà kẹ́míkà ni àwọn ohun tí a kò leè fọ́ túútúú.",
"The chromosome carries genetic information.", "Kírómósómù ń gbé ìwífún ìbímọ.",
"A straight line has an angle of 180 degrees.", "Ìlà tààrà ní igun ọgọ́rùn-ún àti ọgọ́rin díírì.",
"Current is measured in Amperes.", "Kọ́ọ̀ǹtì ni a ń wọ̀n ní Ámpẹ̀ẹrì.",
"Respiration releases energy from glucose.", "Ìmí-kúrò ń tú agbára jáde láti inú gúlúkóòsì.",
"The atomic number is the number of protons.", "Nọ́mbà átọ́mù ni iye àwọn pùrótónì.",
"A reflex action protects the body from injury.", "Ìṣiṣẹ́-lẹ́sẹ̀kẹsẹ̀ ń dáàbò bo ara lọ́wọ́ ìpalára.",
"Potential energy is relative to position.", "Agbára ìpamọ́ ń bẹ lórí ìdúró.",
"Acids and bases neutralize each other.", "Ásìdì àti béesì ń dá ìdọ́gba láàárín ara wọn.",
"The speed of sound depends on the medium.", "Ìyára ìró ń bẹ lórí ohun tí ó ń rìn gba."
"Chemical equilibrium is dynamic in a closed system.", "Ìdọ́gba kẹ́míkà jẹ́ ohun tí ń yí padà nínú ètò tí ó wà ní títì.",
"A catalyst lowers the activation energy of a reaction.", "Kátálísì ń dín agbára ìṣiṣẹ́ kù nínú ìṣiṣẹ́ kẹ́míkà.",
"Potential difference is measured in volts.", "Ìyàtọ̀ agbára jẹ́ ohun tí a ń wọ̀n ní wọ́ọ̀tù.",
"The heart pumps oxygenated blood to the body.", "Ọkàn ń fa ẹ̀jẹ̀ tí ó ní ọ̀sìgíìì lọ sí ara.",
"A polygon is a shape with many sides.", "Pólígọ̀nù ni àwòrán tí ó ní ẹ̀gbẹ́ púpọ̀.",
"Refraction changes the speed of light.", "Ìyípadà-ọ̀nà ń yí iyára ìmọ́lẹ̀ padà.",
"Chromosomes contain genetic information.", "Kírómósómù ní ìwífún ìbímọ nínú.",
"Oxidation is the loss of electrons during a reaction.", "Ìyípadà-oksídéèṣàn ni ṣíṣé ẹ̀lékítírónì nínú ìṣiṣẹ́ kẹ́míkà.",
"The area of a circle is calculated using Pi r squared.", "Ààyè síríkì ni a ń ṣìṣirò rẹ̀ nípa lílo Pi r méjì.",
"Inertia resists any change in motion.", "Ìfọ̀rọ̀-sí-orí-dúró ń ta kò àyípadà nínú ìrìn.",
"Agriculture is the science of farming and cultivation.", "Iṣẹ́-ògbìn jẹ́ ìmọ̀ nípa àgbẹ̀-ṣíṣe àti ìtọ́jú irúgbìn.",
"Animal husbandry involves breeding and caring for livestock.", "Ìtọ́jú ẹran ní í ṣe pẹ̀lú ìbímọ àti ìtọ́jú àwọn ẹran-ọ̀sìn.",
"Manure improves soil fertility for better crop yield.", "Ààtàn ń mú ìlẹ̀ lágbára láti ṣiṣẹ́ fún ìkórè irúgbìn tó dára.",
"Vaccination prevents diseases in poultry and cattle.", "Ìtẹ̀jú-àìsàn ń dènà àwọn àrùn nínú adìyẹ àti màlúù.",
"Crop rotation helps maintain soil nutrients.", "Ìyípadà-irúgbìn ń ràn wá lọ́wọ́ láti tọ́jú oúnjẹ ilẹ̀.",
"Livestock production provides protein and income.", "Ìṣiṣẹ́-ẹ̀ran-ọ̀sìn ń pèsè prótììnù àti owó-ìwọlé.",
"Irrigation supplies water to crops during dry seasons.", "Ìtọ́jú-omi ń pèsè omi fún àwọn irúgbìn ní àkókò ẹ̀ẹ̀rùn.",
"A balanced diet is essential for livestock growth.", "Oúnjẹ dídọ́gba ṣe pàtàkì fún ìdàgbàsókè ẹran-ọ̀sìn.",
"Harvesting is the collection of mature crops.", "Ìkórè ni mímú àwọn irúgbìn tí ó ti gbó wálé.",
"Feed formulation ensures optimal animal nutrition.", "Ìṣètò oúnjẹ ẹran ń rí i dájú pé ẹran ń jẹ oúnjẹ tí ó dára."
"The frequency of a wave is measured in Hertz.", "Ìgbà-ìrìn ìró ni a ń wọ̀n ní Hẹ́ẹ́rìtì.",
"A conductor allows electricity to pass through.", "Onídìí-ṣíṣàn ń gba ẹ̀lékítíríkì láti kọjá.",
"A precipitate is a solid formed in a solution.", "Pẹ́rípítétì ni nǹkan líle tí ó ń yọ jáde nínú sọ́lúṣọ̀nù.",
"The atomic mass is the total of protons and neutrons.", "Ìwọ̀n ara átọ́mù ni ìdapọ̀ àwọn pùrótónì àti niútrónì.",
"Osmosis is the movement of water across a membrane.", "Ọ̀smósì ni rírìn omi gba mẹ́mírẹ̀nì.",
"Genetics is the study of heredity.", "Jẹ́nétììkì ni ẹ̀kọ́ nípa ìjogún.",
"Soil erosion washes away fertile topsoil.", "Ìṣàgbà-ilẹ̀ ń gbé ilẹ̀ ọlọ́ràá lọ.",
"Fertilizers are added to improve crop growth.", "Ààtàn-ọ̀rọ̀ ń jẹ́ kíkún-sí láti mú ìdàgbàsókè irúgbìn dára sí i.",
"A balanced diet prevents malnutrition in livestock.", "Oúnjẹ dídọ́gba ń dènà àìjẹun-kò-dára nínú ẹran-ọ̀sìn.",
"Poultry farming involves rearing birds for eggs and meat.", "Iṣẹ́-ẹyẹ ní í ṣe pẹ̀lú ìtọ́jú àwọn ẹyẹ fún ẹyin àti ẹran.",
"Potential difference is the work done per unit charge.", "Ìyàtọ̀ agbára ni iṣẹ́ tí a ṣìṣẹ́ fún ìkọ̀ọ̀kan ẹ̀sùn.",
"A base has a bitter taste and feels soapy.", "Béesì ní adùn kíkan ó sì ń yọ̀ bí ọṣẹ.",
"Enzymes are biological catalysts.", "Èńsaímù ni àwọn kátálísì ìgbé-ayé.",
"The ribosomes are responsible for protein synthesis.", "Ríbósómù ni ó ń ṣiṣẹ́ prótììnù.",
"Crop pests destroy plants in the farm.", "Àwọn kòkòrò-irúgbìn ń ba àwọn ewéko jẹ́ nínú oko.",
"Weeding is the removal of unwanted plants.", "Ìyọko ni mímú àwọn ewéko tí a kò fẹ́ kúrò.",
"Artificial insemination is used for breeding.", "Ìbímọ-ọlọ́nà-oríṣìíríṣìí ni a ń lò fún ìbímọ.",
"Vitamins are essential for animal health.", "Fítámììnì ṣe pàtàkì fún ìlera ẹran.",
"Work is force multiplied by distance.", "Iṣẹ́ ni agbára tí a ṣìṣẹ́ pẹ̀lú ìjìnnà.",
"The atomic structure consists of a nucleus and electrons.", "Ìlànà átọ́mù ní niúkíléọ̀sì àti ẹ̀lékítírónì nínú."
"Photosynthesis uses sunlight to make food.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń lo ìmọ́lẹ̀ oòrùn láti ṣe oúnjẹ.",
"A force applied over an area is pressure.", "Agbára tí a lo lórí ààyè ni ìfúnni.",
"Animals get energy by consuming plants.", "Àwọn ẹran ń rí agbára gbà nípa jíjẹ ewéko.",
"Soil texture affects water retention.", "Ìrísí ilẹ̀ ń kan bí omi yóò ṣe dúró sí nínú ilẹ̀.",
"A circuit breaker prevents electrical fires.", "Kọ́ọ̀kì-bírékà ń dènà iná ẹ̀lékítíríkì.",
"Mitochondria produce ATP for the cell.", "Mítókóndíríà ń pèsè ATP fún sẹ́ẹ̀lì.",
"Valency is the combining power of an element.", "Fẹ́lẹ́nsì ni agbára ìdàpọ̀ nǹkan kẹ́míkà.",
"Crop spacing helps to reduce disease spread.", "Ìyọ̀ọ̀da-irúgbìn ń ràn wá lọ́wọ́ láti dín ìtànkálẹ̀ àrùn kù.",
"A triangle with two equal sides is isosceles.", "Tíríàngùlù tí ó ní ẹ̀gbẹ́ méjì tí ó dọ́gba ni tíríàngùlù oní-ẹ̀gbẹ́-méjì-dọ́gba.",
"The atomic nucleus contains protons and neutrons.", "Niúkíléọ̀sì átọ́mù ní àwọn pùrótónì àti niútrónì nínú.",
"An herbivore eats only plant matter.", "Ẹran-tí-ń-jẹ-ewé ń jẹ ewéko nìkan.",
"Thermal expansion increases the size of an object.", "Ìfẹ́gbẹ́-ooru ń mú kí nǹkan gbòòrò sí i.",
"The pH value of pure water is seven.", "Ìwọ̀n pH ti omi mímọ́ jẹ́ méje.",
"A tractor is used for mechanized farming.", "Tírákítọ̀ ni a ń lò fún iṣẹ́-ògbìn ẹ̀rọ.",
"RNA is involved in protein synthesis.", "RNA ń kó ipa nínú ṣíṣé prótììnù.",
"A diagonal connects non-adjacent vertices.", "Dáyágónà ń so àwọn igun tí kò wà lẹ́gbẹ̀ẹ́ ara wọn pọ̀.",
"The sun's energy drives the water cycle.", "Agbára oòrùn ni ó ń ṣíṣẹ́ ètò ìyípadà omi.",
"Pesticides control harmful insects in crops.", "Oògùn-kòkòrò ń ṣàkóso àwọn kòkòrò tí ó ń ba irúgbìn jẹ́.",
"The mass of an atom is concentrated in the nucleus.", "Ìwọ̀n ara átọ́mù wà ní niúkíléọ̀sì.",
"Vector quantities have both direction and magnitude.", "Ìwọ̀n vẹ́kítọ̀ ní ìtọ́sọ́nà àti ìwọ̀n pẹ̀lú."
"The speed of sound in air is approximately 340 meters per second.", "Ìyára ìró nínú afẹ́fẹ́ jẹ́ nǹkan bí 340 mítà fún ìṣẹ́jú-àáyá kan.",
"An isotope of carbon is used for radioactive dating.", "Ísótópù kábọ̀nì ni a ń lò fún ìwọ̀n-ọjọ́-radíò.",
"Mitosis produces two genetically identical daughter cells.", "Mítósì ń pèsè sẹ́ẹ̀lì ọmọ méjì tí ó jọra nínú jẹ́néétììkì.",
"A square has four equal sides and angles.", "Sípéà ní ẹ̀gbẹ́ mẹ́rin tí ó dọ́gba àti igun mẹ́rin.",
"Force is measured in Newtons.", "Agbára ni a ń wọ̀n ní Nẹ́tọ̀nì.",
"The atmosphere is a mixture of gases.", "Afẹ́fẹ́ jẹ́ ìdàpọ̀ àwọn gáàsì.",
"DNA stands for Deoxyribonucleic acid.", "DNA dúró fún Deoxyribonucleic acid.",
"Gravity is a force of attraction.", "Òòfà ilẹ̀ jẹ́ agbára ìfà-nǹkan.",
"The pH of a solution determines its acidity.", "pH sọ́lúṣọ̀nù ń pinnu ìwọ̀n ásìdì rẹ̀.",
"A lever helps to lift heavy objects.", "Léfà ń ràn wá lọ́wọ́ láti gbé àwọn nǹkan tí ó wúwo.",
"Crop yield depends on soil nutrients.", "Ìkórè irúgbìn ń bẹ lórí oúnjẹ ilẹ̀.",
"Animal feed must be rich in proteins.", "Oúnjẹ ẹran gbọ́dọ̀ ní ọ̀pọ̀ prótììnù nínú.",
"Poultry birds require clean water daily.", "Àwọn ẹyẹ-ọ̀sìn nílò omi mímọ́ lójoojúmọ́.",
"Irrigation systems increase crop productivity.", "Ètò ìtọ́jú-omi ń mú kí iṣẹ́-ògbìn tẹ̀ síwájú.",
"Pests can damage harvested crops.", "Àwọn kòkòrò-irúgbìn leè ba àwọn irúgbìn tí a ti kórè jẹ́.",
"Manure provides essential minerals for plants.", "Ààtàn ń pèsè àwọn nǹkan-ìṣẹ̀dá tí ewéko nílò.",
"Breeding improves the quality of livestock.", "Ìbímọ-ọlọ́nà ń mú kí àwọn ẹran-ọ̀sìn dára sí i.",
"Vaccination is a preventive measure for animals.", "Ìtẹ̀jú-àìsàn jẹ́ ọ̀nà ìdènà àrùn fún ẹran.",
"The cell wall provides support to plant cells.", "Ògiri sẹ́ẹ̀lì ń pèsè ìrànlọ́wọ́ fún sẹ́ẹ̀lì ewéko.",
"Potential energy is converted to kinetic energy.", "Agbára ìpamọ́ ń yípadà di agbára ìsúnni."
"Concave mirrors converge light rays.", "Gíláàsì olóòkùn ń kó àwọn ìtànṣán ìmọ́lẹ̀ jọ.",
"Covalent bonds share electron pairs.", "Ìdè kòfélẹ́ǹtì ń pín àwọn tọkọtaya ẹ̀lékítírónì.",
"Cellular respiration produces ATP energy.", "Ìmí-kúrò sẹ́ẹ̀lì ń pèsè agbára ATP.",
"Sin theta is opposite over hypotenuse.", "Sin theta jẹ́ ìkọ̀rí igun lórí ìtẹ̀wọ̀n-igun-ọ̀tún.",
"Ohm's law relates voltage and current.", "Òfin Ohm ń so wọ́ọ̀tájì àti kọ́ọ̀ǹtì pọ̀.",
"Soil pH affects nutrient availability.", "pH ilẹ̀ ń kan bí àwọn oúnjẹ ilẹ̀ yóò ṣe wà fún irúgbìn.",
"Livestock housing protects animals from weather.", "Ilé-ẹ̀ran ń dáàbò bo àwọn ẹran lọ́wọ́ ojú-ọjọ́.",
"Aphids are common pests in vegetables.", "Kòkòrò-afìdì jẹ́ kòkòrò tí ó wọ́pọ̀ nínú ewébẹ̀.",
"The periodic table organizes elements.", "Tábìlì ìtẹ̀lé-ìwọ̀n ń ṣètò àwọn ẹ̀yà kẹ́míkà.",
"Work is done when force causes displacement.", "Iṣẹ́ ń ṣẹlẹ̀ nígbà tí agbára bá fa àyípadà ìfipò.",
"Displacement is a vector quantity.", "Ìfipò jẹ́ ìwọ̀n vẹ́kítọ̀.",
"Ecosystems transfer energy through food chains.", "Ètò ìgbé-ayé ń gbé agbára kọjá nípasẹ̀ ìlà oúnjẹ.",
"Mechanization increases farm output.", "Ṣíṣiṣẹ́-ẹ̀rọ ń mú kí ìkórè oko pọ̀ sí i.",
"Mulching conserves soil moisture.", "Ìyọ̀rò-ilẹ̀ ń tọ́jú ọ̀rinrin ilẹ̀.",
"Litmus paper acts as a pH indicator.", "Ẹ̀wé lítímọ̀sì ń ṣiṣẹ́ gẹ́gẹ́ bí àmì pH.",
"Dominant traits mask recessive traits.", "Ànímọ́ tí ó lágbára ń bò ànímọ́ tí kò lágbára mọ́lẹ̀.",
